FECH,ADUA,PAIS,COD_PAI4,COD_SAL1,COD_SAL,DPTO2,VIA,BANDERA,REGIM,MODAD,FINALID,CER_ORI1,SISESP,POSAR,DPTO1,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES,AGRENA,FLETES,SEGURO,OTROSG
2309,3,239,ECU,3,BOG,11,1,211,1,199,1,8,2,6212900000,11,11,U,1130,136,128,4838,19101836,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,2,2,8,2,3920430000,11,33,KG,3,4,3,136,537023,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,2,2,8,2,3926909090,11,11,U,800,26,25,115,454101,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,2,2,8,2,4901999000,11,11,U,5,8,8,15,60687,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,2,2,8,2,5806200000,11,33,KG,24,25,24,100,396371,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,2,2,8,2,5806321000,11,33,KG,110,114,110,392,1547890,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,2,2,8,2,7326909000,11,11,U,22,0,0,17,65154,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,2,2,8,2,8302490000,11,11,U,100,3,3,90,355383,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,2,2,8,2,9607200000,11,33,KG,29,30,29,46,181640,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,104,2,8,2,3926904000,11,11,U,1,29,28,7300,29184142,0.0,138.29,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,104,2,8,2,4016930000,8,11,U,115,0,0,509,2042200,0.0,10.82,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,104,2,8,2,4016991000,8,11,U,20,11,11,610,2447599,0.0,12.97,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,104,2,8,2,7318290000,8,33,KG,1,1,1,43,173851,0.0,0.92,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,104,2,8,2,8413919000,11,11,U,5,147,139,14456,57792729,0.0,273.84,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,104,2,8,2,8431439000,8,11,U,5,20,17,2692,10801084,0.0,57.24,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,104,2,8,2,8504900000,8,11,U,1,3,3,6166,24740999,0.0,131.12,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,104,2,8,2,8536901000,8,11,U,4,0,0,1938,7776683,0.0,41.21,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,104,2,8,2,8542900000,8,11,U,2,0,0,685,2749321,0.0,14.57,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,104,2,8,2,8544499090,8,33,KG,0,0,0,524,2102464,0.0,11.14,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,2,8,2,602909000,11,11,U,16500,277,250,165,644690,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,3,253,1,198,1,2,1,603121000,11,11,U,14650,183,176,2354,9247171,2354.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,3,253,1,198,1,2,1,603129000,11,11,U,55150,1995,1920,8723,34264422,8722.5,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,3,493,1,198,1,8,2,3302101000,11,33,KG,255,314,255,6322,25578142,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,7,827,1,198,1,2,1,603110000,11,11,U,21275,1844,1820,10611,42928279,10525.4,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,7,827,1,198,1,8,2,603129000,11,11,U,17600,514,500,2848,11373573,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,8,618,1,198,1,1,1,603110000,11,11,U,5800,336,319,1668,6776465,1534.41,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,8,618,1,198,1,2,1,603110000,11,11,U,42100,2673,2650,9309,37662631,9140.6,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,8,618,1,198,1,2,1,603121000,11,11,U,2000,21,21,332,1358889,318.06,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,8,618,1,198,1,2,1,603129000,11,11,U,29200,979,958,5107,20903237,4923.37,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,8,618,1,198,1,8,2,603110000,11,11,U,63300,4025,3839,20488,83859309,0.0,0.0,0.0,0.0
